user_id,federal_tax_bracket_percent,employment_status,liquidity_needs,total_net_worth_range,age,uuid,risk_level
120547,25.0,EMPLOYED,0.5,0.0,37,42928b70-591b-46a6-8919-3d71b240ea3c,2
121204,25.0,EMPLOYED,0.5,0.25,24,25b9c433-343c-4dd4-9666-397a006851da,2
121641,25.0,EMPLOYED,0.5,0.25,28,114000c2-8994-47ed-82e2-c4fed41711a5,2
121681,28.0,EMPLOYED,0.5,0.5,37,32ae0e37-0524-4359-81f4-b0e3b5fa6222,2
121697,15.0,STUDENT,0.0,0.0,21,31e00d11-7125-4783-9229-fcf7a009b97c,1
122829,28.0,STUDENT,0.0,0.0,28,32464496-1184-4ade-b2b8-4e5a848df481,2
123147,15.0,STUDENT,0.0,0.0,23,22bd146b-0f13-44db-bd1a-c77d286bf320,1
124451,28.0,EMPLOYED,0.0,0.0,38,2d709185-9ac7-46a0-aea4-e6b955038eee,2
125778,28.0,EMPLOYED,0.0,0.25,52,3d92482b-3964-447f-9552-279b30b541db,2
126638,15.0,STUDENT,0.5,0.0,23,2fb7768a-b678-42f3-8b14-4aeb323aefe9,2
127603,25.0,EMPLOYED,0.5,0.0,32,3f39f8ed-a3d3-4d72-98f9-a5667d919333,2
129299,28.0,EMPLOYED,1.0,1.0,35,49892f87-ae8b-4146-922a-bab3efa9798f,2
130936,28.0,EMPLOYED,0.0,0.25,35,3899c9e2-ef68-4091-991c-a1987d73204d,2
132878,15.0,STUDENT,1.0,0.0,23,3e824c95-cbe0-4f2d-b345-e700e93294d8,1
133257,28.0,EMPLOYED,0.0,0.25,46,1da438fd-7e6a-4a22-9ef2-daa6f414ef03,2
133857,28.0,EMPLOYED,0.5,0.75,33,10ba63a3-b2f5-4be0-80e9-f46a783d4bbb,2
135203,25.0,EMPLOYED,0.5,0.0,35,1f796d37-e305-4b55-800c-21d1f393e6f9,2
138286,25.0,EMPLOYED,1.0,0.0,36,1d0c23d1-c14a-47af-96b8-d61991ab5499,1
139596,25.0,EMPLOYED,0.5,0.0,24,27eec44b-37c8-41b4-be69-f94ccf8298b8,2
140534,28.0,EMPLOYED,0.0,1.0,36,35bd759c-f354-457b-a6b2-38daa2c928f1,3
141709,15.0,EMPLOYED,1.0,0.25,27,11c5522b-139b-4702-ad9d-40e6ab5f5f7c,2
142229,25.0,EMPLOYED,0.0,0.25,30,10d6167b-8dee-4aa4-9d9f-d70a010bdd43,2
143354,25.0,EMPLOYED,0.0,0.75,31,41b30b37-cabf-4757-bd50-bf9d74add352,2
144056,15.0,STUDENT,1.0,0.25,28,233e952e-592d-48e2-985a-75eee5e66b08,2
144343,28.0,EMPLOYED,0.0,1.0,44,4d26797e-792b-4760-8a9d-608a821c8b64,3
144346,25.0,EMPLOYED,0.5,0.25,28,4b754f82-f8a1-441b-8e9b-8b9e055e207d,2
144681,25.0,EMPLOYED,0.5,0.25,32,2cafa4a9-5ae3-4f89-92c8-c769247d0931,2
145381,15.0,EMPLOYED,0.5,0.0,26,209b6996-36df-49b3-98ca-9f81c1969ccd,1
145796,15.0,UNEMPLOYED,0.0,0.0,25,4d35c643-6bbf-4e25-9169-f778c9b911ff,1
146520,28.0,EMPLOYED,1.0,0.0,27,3b73f879-8b71-48be-9f9b-ee23d7a23237,1
147336,28.0,STUDENT,0.0,0.0,24,23a0eabc-e3c0-424f-88d6-2adb3f19ae29,3
147713,28.0,EMPLOYED,0.0,0.75,44,2ebb61d9-5d33-46f5-acfc-24a3f36a1649,2
147909,28.0,EMPLOYED,0.5,1.0,33,1451aed7-0ba5-464d-a6e8-760f99294e50,3
148320,15.0,EMPLOYED,0.5,0.25,26,44d558a2-2e78-4772-a7af-6ea36cd516e9,2
148588,25.0,EMPLOYED,0.0,0.0,27,1a4d6216-f263-403b-b477-fbc9c9824fea,2
149394,15.0,STUDENT,1.0,0.0,24,47cc0ab0-1bae-47b7-8a5d-db217f993cd4,1
149556,15.0,EMPLOYED,0.5,0.25,27,4ef0c7e0-a630-4a1f-84ff-a6a58e73537f,2
150152,15.0,EMPLOYED,1.0,0.25,27,3b4fe1f8-c907-4719-abef-d5f0a780b65e,2
151908,25.0,EMPLOYED,0.0,0.25,33,32d6c54e-243e-4249-b942-1798c965f393,2
152470,28.0,EMPLOYED,1.0,0.75,30,2d010c86-c0d6-4f5d-b0c8-bc8d14481eca,2
153254,25.0,EMPLOYED,0.5,0.75,33,2b668808-597d-44d2-b890-f0b21748971e,2
153261,15.0,EMPLOYED,0.5,0.0,30,315c3d31-fd20-49f1-b72c-72e881682fed,2
153327,15.0,UNEMPLOYED,0.5,0.0,28,4c37f4dc-e5d3-4741-9b9b-71f7e4eb1330,1
155178,25.0,EMPLOYED,0.0,1.0,43,2860c617-bf7e-43cc-b22b-67685678d882,3
155390,28.0,EMPLOYED,0.0,1.0,42,287049b1-dce2-448c-8ab7-8dfd9954f1cb,2
156238,28.0,EMPLOYED,0.0,1.0,29,4f0ca53e-1d55-4752-984d-384530fcee3b,4
157415,15.0,UNEMPLOYED,0.5,0.0,30,36949173-a1eb-457b-9ef9-568464f533a8,2
157489,15.0,EMPLOYED,0.0,0.0,24,1155e28a-a9ed-4784-b3b6-06b153216d45,2
157535,28.0,EMPLOYED,0.5,0.5,36,2fbdabc6-aadb-4cc4-9834-207c472a678b,3
158032,15.0,STUDENT,1.0,0.0,24,2ab3fb79-96a7-4430-9067-96e9bd0e6f17,1
158719,25.0,EMPLOYED,1.0,0.25,29,3a31262c-3927-404d-8c61-356eb87469c1,2
158797,28.0,EMPLOYED,0.5,0.25,36,3768dd25-2437-46b4-89a3-54f5daee3556,2
160165,15.0,EMPLOYED,0.5,0.0,23,352dc516-7d45-4e4a-b530-614c8e6c9bdf,1
161390,25.0,EMPLOYED,0.5,0.5,27,4674b6b3-cff2-4032-81e9-d980f93fb22c,2
162802,25.0,EMPLOYED,1.0,0.0,32,37d39add-cd7c-411f-8d9b-a2e789b79c86,2
163076,28.0,EMPLOYED,0.5,0.25,30,24f03f18-e01d-4a20-a215-83e18739b06e,2
164037,28.0,EMPLOYED,0.0,0.5,52,42b6c076-d43b-4fbd-be72-8eb44d8923c0,2
164192,15.0,UNEMPLOYED,1.0,0.0,29,276620d4-8c81-491c-8501-3fc287cb0e8e,1
164462,28.0,EMPLOYED,0.5,0.5,37,1eeee90f-63b4-4169-8920-20fd5ca9fb5d,2
165062,28.0,EMPLOYED,1.0,0.5,34,18d154b1-768d-42b3-8bca-96aec6930f0b,2
165393,28.0,EMPLOYED,0.0,1.0,48,24de09c4-e8ed-477a-98de-fee94a866971,3
165761,28.0,EMPLOYED,0.5,0.5,27,25d0133c-7223-4386-95e9-da1789b9969d,2
165917,28.0,EMPLOYED,0.0,1.0,37,4283eadb-561f-404b-b0ed-b212cf8ce3f2,3
167821,15.0,STUDENT,0.5,0.25,19,37a48a20-be51-48d4-9b94-1b71d07ceb45,2
