id,name,description,underlying_security,ticker_symbol,last_price,dividend_rate_percent,expense_ratio_percent,one_day_change_percent,year_to_date_change_percent,created_at,updated_at,risk_level,fund_url,inception,last_refresh,long_description,cusip,start_of_year_price,start_of_year_price_year,learn_post_id,inception_price,tags,investment_type,color_code
21,Slow & Steady,Stabilize your stash with these companies that tend to avoid rollercoaster spikes and slopes.,Invesco S&P 500 Low Volatility ETF,SPLV,48.04,2.06,0.25,-0.22,0.63,2015-09-03 15:47:43.125933,2018-07-23 14:29:41.476292,1,https://www.invesco.com/portal/site/us/financial-professional/etfs/product-detail?productId=SPLV,5/5/2011,2018-07-23 14:14:21.000000,"Volatile investments surge and sink without much warning, making for bigger risks and rewards. Getting on the bad side of those wild swings can hurt. This covers bigger companies that show less volatility. ",46138E354,47.74,2018,,21.23,"['medical', 'Coca-Cola', 'Waste', 'General Mills', 'Lockheed Martin', 'healthcare', 'health', 'coke', 'DaVita HealthCare', 'Sysco Corp', 'Waste Management', 'food', 'Torchmark', 'Aflac', 'Church & Sweight', 'Pepsico', 'lower risk', 'big companies']",ETF,
19,On Cloud Nine,Live your life on the cloud? Invest in companies that make it all possible. ,First Trust ISE Cloud Computing Index Fund,SKYY,55.4,0.24,0.6,-0.32,20.75,2015-09-03 15:47:43.072839,2018-07-23 14:30:41.666641,2,http://www.ftportfolios.com/retail/etf/etfsummary.aspx?Ticker=SKYY,7/6/2011,2018-07-23 14:15:40.000000,"As our devices slim down and our data piles up, we're relying more than ever on the cloud. These cloud computing technology companies let us store and access our photos, songs, and files anywhere, anytime. ",33734X192,45.88,2018,,20.25,"['Facebook', 'Amazon', 'cloud', 'netflix', 'oracle', 'cisco systems', 'entertainment', 'security', 'Equinix Inc', 'Open Text corporation', 'F5 Networks', 'EMC Corporation', 'Zynga', 'salesforce', 'data', 'device', 'cloud computing']",ETF,
67,Tesla,The integrated sustainable energy company leads the emerging electric vehicle industry. ,"Tesla, Inc.",TSLA,297.7,0.0,0.0,-5.06,-4.38,2018-03-19 17:55:14.732937,2018-07-23 14:30:41.673545,1,http://ir.tesla.com,06/29/2010,2018-07-23 14:15:37.000000,Famous tycoon and engineer Elon Musk helms Tesla—a company known primarily for its groundbreaking electric vehicles. Tesla and its subsidiary SolarCity also design and sell solar energy systems and lithium-ion batteries. This is a direct investment in Tesla stock.,88160R101,311.35,2018,,23.83,['Tesla'],STOCK,cc0000
93,NextEra Energy,"This leading clean energy company is one of Fortune's ""World's Most Admired"" in 2018.","NextEra Energy, Inc",NEE,168.98,2.46,0.0,-0.59,8.96,2018-05-08 19:07:48.870576,2018-07-23 14:30:41.680036,1,http://www.investor.nexteraenergy.com/company-overview,06/27/2014,2018-07-23 14:15:33.000000,"Headquartered in Florida, NextEra Energy is a leading clean energy company often recognized for its sustainability efforts. Together with its affiliates, it's the world's largest generator of renewable energy from the wind and sun. This is a direct investment in NextEra Energy stock.",65339F101,155.08,2018,,91.1,[''],STOCK,0199de
108,Merck,This global health care giant specializes in both human and animal medicines and therapies.,"Merck & Co., Inc.",MRK,62.66,3.06,0.0,0.22,12.33,2018-05-30 17:25:50.171398,2018-07-23 14:30:41.686690,1,http://investors.merck.com/home/default.aspx,01/13/1978,2018-07-23 14:15:38.000000,"From salmon to horses to humans, Merck and Co. treats lots of creatures. The healthcare company is best known for NuvaRing, Singulair, Gardasil, Banamine, and The Merck Manuals—wildly popular medical references for docs and vets. This is a direct investment in Merck and Co. stock.",58933Y105,55.78,2018,,,['Merck'],STOCK,019591
58,ExxonMobil,This energy powerhouse is the largest publicly traded oil and natural gas company.,Exxon Mobil Corporation,XOM,81.61,3.85,0.0,0.26,-1.43,2018-03-02 21:39:34.836701,2018-07-23 14:30:41.693419,1,http://ir.exxonmobil.com/,03/17/1980,2018-07-23 14:15:38.000000,"The top supermajor in Big Oil, ExxonMobil descends from Rockefeller's Standard Oil monopoly. Its success is fueled by resource exploration, licensing, and the production of oil, natural gas, and petroleum products. This is a direct investment in ExxonMobil stock.",30231G102,82.79,2018,,,['ExxonMobil'],STOCK,cc0026
56,Boeing,The world's largest aerospace company is also the USA's largest manufacturing exporter.,The Boeing Company,BA,354.92,1.76,0.0,0.01,20.94,2018-03-02 21:34:09.484036,2018-07-23 14:30:41.699815,1,http://investors.boeing.com/investors/overview/default.aspx,01/02/1962,2018-07-23 14:15:38.000000,"Now in its second century of business, Boeing builds and services commercial airplanes, military aircraft, defense systems, satellites, and rockets for airlines and governments in over 150 countries. This is a direct investment in Boeing stock.",097023105,293.46,2018,,,['Boeing'],STOCK,0033a1
22,Small but Mighty,"Stand up for the little guys. Small but spirited, these companies have room to grow.",Vanguard Small-Cap ETF,VB,160.17,1.34,0.06,-0.28,8.37,2015-09-03 15:47:43.154771,2018-07-23 14:30:41.706201,2,https://personal.vanguard.com/us/funds/snapshot?FundId=0969&FundIntExt=INT,1/30/2004,2018-07-23 14:15:04.000000,"Quick, nimble, and often overlooked, many small capitalized companies have a lot of room to grow. Remember, all big companies started out small. ",922908751,147.8,2018,,40.55,"['Vanguard', 'waste', 'energy', 'Ingredion Inc', 'Waste Connection', 'Arthur J Gallagher', 'AGL Resources', 'Valspar Corp', 'Atmos Energy', 'Westar Energy', 'Regency Centers', 'Mid-America Apar', 'small companies', 'big companies']",ETF,
98,Northrop Grumman,This global contractor is one of the world's biggest defense and security companies.,Northrop Grumman Corporation,NOC,322.08,1.33,0.0,-0.57,5.28,2018-05-14 20:01:58.787319,2018-07-23 14:30:41.712638,1,http://investor.northropgrumman.com/investor-overview,01/13/1978,2018-07-23 14:15:25.000000,"Northrop Grumman is best known for the lunar module that put humans on the moon and the B-2 stealth bomber. These days, the company delivers solutions for applications that range from undersea to outer space and into cyberspace. This is a direct investment in Northrop Grumman stock.",666807102,305.92,2018,,,['Northrop Grumman'],STOCK,015999
92,Honeywell,This international conglomerate produces a huge range of consumer and commercial products.,Honeywell International,HON,153.26,1.89,0.0,0.09,0.42,2018-05-08 19:07:20.655669,2018-07-23 14:30:41.719043,1,https://www.honeywell.com/who-we-are/overview,09/27/1985,2018-07-23 14:15:39.000000,"Honeywell technologies can be found everywhere from your living room to outer space. This international business invents and manufactures a huge range of ""critically connected"" products for homes, vehicles, aircraft, factories and more. This is a direct investment in Honeywell stock. ",438516106,152.62,2018,,,[''],STOCK,ee3124
